Relative Compactness,Surface Area,Wall Area,Roof Area,Overall Height,Orientation,Glazing Area,Glazing Area Distribution,Heating Load,Cooling Load
0.62,808.5,367.5,220.5,3.5,4,0.1,5,12.8,13.99
0.62,808.5,367.5,220.5,3.5,5,0.1,5,12.62,14.15
0.98,514.5,294,110.25,7,2,0.25,1,28.15,29.79
0.98,514.5,294,110.25,7,3,0.25,1,28.15,29.79
0.98,514.5,294,110.25,7,4,0.25,1,28.37,29.28
0.98,514.5,294,110.25,7,5,0.25,1,28.41,29.49
0.9,563.5,318.5,122.5,7,2,0.25,1,32.68,36.12
0.9,563.5,318.5,122.5,7,3,0.25,1,33.48,33.17
0.9,563.5,318.5,122.5,7,4,0.25,1,32.84,32.71
0.9,563.5,318.5,122.5,7,5,0.25,1,32,37.58
0.86,588,294,147,7,2,0.25,1,29.54,33.98
0.86,588,294,147,7,3,0.25,1,30.05,28.61
0.86,588,294,147,7,4,0.25,1,29.6,30.12
0.86,588,294,147,7,5,0.25,1,28.66,34.73
0.82,612.5,318.5,147,7,2,0.25,1,26.84,30.17
0.82,612.5,318.5,147,7,3,0.25,1,27.27,27.84
0.82,612.5,318.5,147,7,4,0.25,1,26.97,27.25
0.82,612.5,318.5,147,7,5,0.25,1,26.19,31.39
0.79,637,343,147,7,2,0.25,1,38.67,43.8
0.79,637,343,147,7,3,0.25,1,40.03,37.81
0.79,637,343,147,7,4,0.25,1,39.86,36.85
0.79,637,343,147,7,5,0.25,1,39.04,45.52
0.76,661.5,416.5,122.5,7,2,0.25,1,36.96,36.85
0.76,661.5,416.5,122.5,7,3,0.25,1,36.13,37.58
0.76,661.5,416.5,122.5,7,4,0.25,1,36.91,37.45
0.76,661.5,416.5,122.5,7,5,0.25,1,36.43,36.62
0.74,686,245,220.5,3.5,2,0.25,1,12.43,15.19
0.74,686,245,220.5,3.5,3,0.25,1,12.5,15.5
0.74,686,245,220.5,3.5,4,0.25,1,12.41,15.28
0.74,686,245,220.5,3.5,5,0.25,1,12.45,15.5
0.71,710.5,269.5,220.5,3.5,2,0.25,1,12.57,15.42
0.9,563.5,318.5,122.5,7,4,0,0,20.71,25.16
0.9,563.5,318.5,122.5,7,5,0,0,19.68,29.6
0.86,588,294,147,7,2,0,0,19.5,27.3
0.86,588,294,147,7,3,0,0,19.95,21.97
0.86,588,294,147,7,4,0,0,19.34,23.49
0.86,588,294,147,7,5,0,0,18.31,27.87
0.82,612.5,318.5,147,7,2,0,0,17.05,23.77
0.82,612.5,318.5,147,7,3,0,0,17.41,21.46
0.82,612.5,318.5,147,7,4,0,0,16.95,21.16
0.82,612.5,318.5,147,7,5,0,0,15.98,24.93
0.79,637,343,147,7,2,0,0,28.52,37.73
0.79,637,343,147,7,3,0,0,29.9,31.27
0.79,637,343,147,7,4,0,0,29.63,30.93
0.79,637,343,147,7,5,0,0,28.75,39.44
0.76,661.5,416.5,122.5,7,2,0,0,24.77,29.79
0.76,661.5,416.5,122.5,7,3,0,0,23.93,29.68
0.76,661.5,416.5,122.5,7,4,0,0,24.77,29.79
0.76,661.5,416.5,122.5,7,5,0,0,23.93,29.4
0.74,686,245,220.5,3.5,2,0,0,6.07,10.9
0.74,686,245,220.5,3.5,3,0,0,6.05,11.19
0.74,686,245,220.5,3.5,4,0,0,6.01,10.94
0.74,686,245,220.5,3.5,5,0,0,6.04,11.17
0.71,710.5,269.5,220.5,3.5,2,0,0,6.37,11.27
0.71,710.5,269.5,220.5,3.5,3,0,0,6.4,11.72
0.71,710.5,269.5,220.5,3.5,4,0,0,6.37,11.29
0.71,710.5,269.5,220.5,3.5,5,0,0,6.4,11.67
0.69,735,294,220.5,3.5,2,0,0,6.85,11.74
0.69,735,294,220.5,3.5,3,0,0,6.79,12.05
0.69,735,294,220.5,3.5,4,0,0,6.77,11.73
0.69,735,294,220.5,3.5,5,0,0,6.81,11.93
0.66,759.5,318.5,220.5,3.5,2,0,0,7.18,12.4
0.66,759.5,318.5,220.5,3.5,3,0,0,7.1,12.23
0.66,759.5,318.5,220.5,3.5,4,0,0,7.1,12.4
0.66,759.5,318.5,220.5,3.5,5,0,0,7.1,12.14
0.64,784,343,220.5,3.5,2,0,0,10.85,16.78
0.64,784,343,220.5,3.5,3,0,0,10.54,16.8
0.64,784,343,220.5,3.5,4,0,0,10.77,16.75
0.64,784,343,220.5,3.5,5,0,0,10.56,16.67
0.62,808.5,367.5,220.5,3.5,2,0,0,8.6,12.07
0.62,808.5,367.5,220.5,3.5,3,0,0,8.49,12.22
0.62,808.5,367.5,220.5,3.5,4,0,0,8.45,12.08
0.62,808.5,367.5,220.5,3.5,5,0,0,8.5,12.04
0.98,514.5,294,110.25,7,2,0.1,1,24.58,26.47
0.98,514.5,294,110.25,7,3,0.1,1,24.63,26.37
0.98,514.5,294,110.25,7,4,0.1,1,24.63,26.44
0.98,514.5,294,110.25,7,5,0.1,1,24.59,26.29
0.9,563.5,318.5,122.5,7,2,0.1,1,29.03,32.92
0.9,563.5,318.5,122.5,7,3,0.1,1,29.87,29.87
0.9,563.5,318.5,122.5,7,4,0.1,1,29.14,29.58
0.9,563.5,318.5,122.5,7,5,0.1,1,28.09,34.33
0.86,588,294,147,7,2,0.1,1,26.28,30.89
0.86,588,294,147,7,3,0.1,1,26.91,25.6
0.86,588,294,147,7,4,0.1,1,26.37,27.03
0.86,588,294,147,7,5,0.1,1,25.27,31.73
0.82,612.5,318.5,147,7,2,0.1,1,23.53,27.31
0.82,612.5,318.5,147,7,3,0.1,1,24.03,24.91
0.82,612.5,318.5,147,7,4,0.1,1,23.54,24.61
0.82,612.5,318.5,147,7,5,0.1,1,22.58,28.51
0.79,637,343,147,7,2,0.1,1,35.56,41.68
0.79,637,343,147,7,3,0.1,1,37.12,35.28
0.79,637,343,147,7,4,0.1,1,36.9,34.43
0.79,637,343,147,7,5,0.1,1,35.94,43.33
0.76,661.5,416.5,122.5,7,2,0.1,1,32.96,33.87
0.76,661.5,416.5,122.5,7,3,0.1,1,32.12,34.07
0.76,661.5,416.5,122.5,7,4,0.1,1,32.94,34.14
0.76,661.5,416.5,122.5,7,5,0.1,1,32.21,33.67
0.74,686,245,220.5,3.5,2,0.1,1,10.36,13.43
0.74,686,245,220.5,3.5,3,0.1,1,10.43,13.71
0.74,686,245,220.5,3.5,4,0.1,1,10.36,13.48
0.74,686,245,220.5,3.5,5,0.1,1,10.39,13.7
0.71,710.5,269.5,220.5,3.5,2,0.1,1,10.71,13.8
0.71,710.5,269.5,220.5,3.5,3,0.1,1,10.8,14.28
0.71,710.5,269.5,220.5,3.5,4,0.1,1,10.7,13.87
0.71,710.5,269.5,220.5,3.5,5,0.1,1,10.75,14.27
0.69,735,294,220.5,3.5,2,0.1,1,11.11,14.28
0.69,735,294,220.5,3.5,3,0.1,1,11.13,14.61
0.69,735,294,220.5,3.5,4,0.1,1,11.09,14.3
0.69,735,294,220.5,3.5,5,0.1,1,11.16,14.45
0.66,759.5,318.5,220.5,3.5,2,0.1,1,11.68,13.9
0.66,759.5,318.5,220.5,3.5,3,0.1,1,11.69,13.72
0.66,759.5,318.5,220.5,3.5,4,0.1,1,11.7,13.88
0.66,759.5,318.5,220.5,3.5,5,0.1,1,11.69,13.65
0.64,784,343,220.5,3.5,2,0.1,1,15.41,19.37
0.64,784,343,220.5,3.5,3,0.1,1,15.2,19.43
0.64,784,343,220.5,3.5,4,0.1,1,15.42,19.34
0.64,784,343,220.5,3.5,5,0.1,1,15.21,19.32
0.62,808.5,367.5,220.5,3.5,2,0.1,1,12.96,14.34
0.62,808.5,367.5,220.5,3.5,3,0.1,1,12.97,14.5
0.62,808.5,367.5,220.5,3.5,4,0.1,1,12.93,14.33
0.62,808.5,367.5,220.5,3.5,5,0.1,1,13.02,14.27
0.98,514.5,294,110.25,7,2,0.1,2,24.29,25.95
0.98,514.5,294,110.25,7,3,0.1,2,24.31,25.63
0.98,514.5,294,110.25,7,4,0.1,2,24.13,26.13
0.98,514.5,294,110.25,7,5,0.1,2,24.25,25.89
0.9,563.5,318.5,122.5,7,2,0.1,2,28.88,32.54
0.9,563.5,318.5,122.5,7,3,0.1,2,29.68,29.44
0.9,563.5,318.5,122.5,7,4,0.1,2,28.83,29.36
0.9,563.5,318.5,122.5,7,5,0.1,2,27.9,34.2
0.86,588,294,147,7,2,0.1,2,26.48,30.91
0.86,588,294,147,7,3,0.1,2,27.02,25.63
0.86,588,294,147,7,4,0.1,2,26.33,27.36
0.86,588,294,147,7,5,0.1,2,25.36,31.9
0.82,612.5,318.5,147,7,2,0.1,2,23.75,27.38
0.82,612.5,318.5,147,7,3,0.1,2,24.23,25.02
0.82,612.5,318.5,147,7,4,0.1,2,23.67,24.8
0.82,612.5,318.5,147,7,5,0.1,2,22.79,28.79
0.79,637,343,147,7,2,0.1,2,35.65,41.07
0.79,637,343,147,7,3,0.1,2,37.26,34.62
0.79,637,343,147,7,4,0.1,2,36.97,33.87
0.79,637,343,147,7,5,0.1,2,36.03,42.86
0.71,710.5,269.5,220.5,3.5,5,0.1,3,10.7,13.87
0.69,735,294,220.5,3.5,2,0.1,3,11.22,14.44
0.69,735,294,220.5,3.5,3,0.1,3,11.16,14.27
0.69,735,294,220.5,3.5,4,0.1,3,11.1,14.67
0.69,735,294,220.5,3.5,5,0.1,3,11.14,14.4
0.66,759.5,318.5,220.5,3.5,2,0.1,3,11.59,13.46
0.66,759.5,318.5,220.5,3.5,3,0.1,3,11.6,13.7
0.66,759.5,318.5,220.5,3.5,4,0.1,3,11.53,13.59
0.66,759.5,318.5,220.5,3.5,5,0.1,3,11.61,13.83
0.64,784,343,220.5,3.5,2,0.1,3,15.16,19.14
0.64,784,343,220.5,3.5,3,0.1,3,15.36,19.18
0.64,784,343,220.5,3.5,4,0.1,3,15.12,19.37
0.64,784,343,220.5,3.5,5,0.1,3,15.36,19.29
0.62,808.5,367.5,220.5,3.5,2,0.1,3,12.68,14.09
0.62,808.5,367.5,220.5,3.5,3,0.1,3,12.63,14.23
0.62,808.5,367.5,220.5,3.5,4,0.1,3,12.71,14.14
0.62,808.5,367.5,220.5,3.5,5,0.1,3,12.73,13.89
0.98,514.5,294,110.25,7,2,0.1,4,24.38,25.91
0.98,514.5,294,110.25,7,3,0.1,4,24.23,25.72
0.98,514.5,294,110.25,7,4,0.1,4,24.04,26.18
0.98,514.5,294,110.25,7,5,0.1,4,24.32,25.87
0.9,563.5,318.5,122.5,7,2,0.1,4,29.06,29.34
0.9,563.5,318.5,122.5,7,3,0.1,4,28.05,33.91
0.9,563.5,318.5,122.5,7,4,0.1,4,28.86,32.83
0.82,612.5,318.5,147,7,2,0.4,5,30,29.93
0.82,612.5,318.5,147,7,3,0.4,5,29.5,29.56
0.82,612.5,318.5,147,7,4,0.4,5,29.06,33.84
0.82,612.5,318.5,147,7,5,0.4,5,29.92,32.54
0.79,637,343,147,7,2,0.4,5,42.11,38.56
0.79,637,343,147,7,3,0.4,5,41.96,37.7
0.79,637,343,147,7,4,0.4,5,41.09,47.01
0.79,637,343,147,7,5,0.4,5,40.79,44.87
0.76,661.5,416.5,122.5,7,2,0.4,5,38.82,39.37
0.76,661.5,416.5,122.5,7,3,0.4,5,39.72,39.8
0.76,661.5,416.5,122.5,7,4,0.4,5,39.31,37.79
0.76,661.5,416.5,122.5,7,5,0.4,5,39.86,38.18
0.74,686,245,220.5,3.5,2,0.4,5,14.41,16.69
0.74,686,245,220.5,3.5,3,0.4,5,14.19,16.62
0.74,686,245,220.5,3.5,4,0.4,5,14.17,16.94
0.74,686,245,220.5,3.5,5,0.4,5,14.39,16.7
0.71,710.5,269.5,220.5,3.5,2,0.4,5,12.43,15.59
0.71,710.5,269.5,220.5,3.5,3,0.4,5,12.63,14.58
0.71,710.5,269.5,220.5,3.5,4,0.4,5,12.76,15.33
0.71,710.5,269.5,220.5,3.5,5,0.4,5,12.42,15.31
0.69,735,294,220.5,3.5,2,0.4,5,14.12,16.63
0.69,735,294,220.5,3.5,3,0.4,5,14.28,15.87
0.69,735,294,220.5,3.5,4,0.4,5,14.37,16.54
0.79,637,343,147,7,2,0.4,2,41.64,45.59
0.79,637,343,147,7,3,0.4,2,43.1,39.41
0.79,637,343,147,7,4,0.4,2,42.74,38.84
0.79,637,343,147,7,5,0.4,2,41.92,48.03
0.76,661.5,416.5,122.5,7,2,0.4,2,40.78,39.48
0.76,661.5,416.5,122.5,7,3,0.4,2,40.15,40.4
0.76,661.5,416.5,122.5,7,4,0.4,2,40.57,40.47
0.76,661.5,416.5,122.5,7,5,0.4,2,40.42,39.7
0.74,686,245,220.5,3.5,2,0.4,2,14.54,16.43
0.74,686,245,220.5,3.5,3,0.4,2,14.45,16.93
0.74,686,245,220.5,3.5,4,0.4,2,14.18,16.99
0.74,686,245,220.5,3.5,5,0.4,2,14.5,17.03
0.71,710.5,269.5,220.5,3.5,2,0.4,2,14.7,16.77
0.71,710.5,269.5,220.5,3.5,3,0.4,2,14.66,17.37
0.64,784,343,220.5,3.5,3,0.1,5,15.37,19.18
0.64,784,343,220.5,3.5,4,0.1,5,15.12,19.26
0.64,784,343,220.5,3.5,5,0.1,5,15.36,19.29
0.62,808.5,367.5,220.5,3.5,2,0.1,5,12.59,14.24
0.62,808.5,367.5,220.5,3.5,3,0.1,5,12.74,13.97
0.62,808.5,367.5,220.5,3.5,4,0.1,5,12.8,13.99
0.62,808.5,367.5,220.5,3.5,5,0.1,5,12.62,14.15
0.98,514.5,294,110.25,7,2,0.25,1,28.15,29.79
0.98,514.5,294,110.25,7,3,0.25,1,28.15,29.79
0.98,514.5,294,110.25,7,4,0.25,1,28.37,29.28
0.98,514.5,294,110.25,7,5,0.25,1,28.41,29.49
0.9,563.5,318.5,122.5,7,2,0.25,1,32.68,36.12
0.9,563.5,318.5,122.5,7,3,0.25,1,33.48,33.17
0.9,563.5,318.5,122.5,7,4,0.25,1,32.84,32.71
0.9,563.5,318.5,122.5,7,5,0.25,1,32,37.58
0.86,588,294,147,7,2,0.25,1,29.54,33.98
0.86,588,294,147,7,3,0.25,1,30.05,28.61
0.86,588,294,147,7,4,0.25,1,29.6,30.12
0.86,588,294,147,7,5,0.25,1,28.66,34.73
0.82,612.5,318.5,147,7,2,0.25,1,26.84,30.17
0.82,612.5,318.5,147,7,3,0.25,1,27.27,27.84
0.82,612.5,318.5,147,7,4,0.25,1,26.97,27.25
0.82,612.5,318.5,147,7,5,0.25,1,26.19,31.39
0.79,637,343,147,7,2,0.25,1,38.67,43.8
0.79,637,343,147,7,3,0.25,1,40.03,37.81
0.79,637,343,147,7,4,0.25,1,39.86,36.85
0.79,637,343,147,7,5,0.25,1,39.04,45.52
0.76,661.5,416.5,122.5,7,2,0.25,1,36.96,36.85
0.76,661.5,416.5,122.5,7,3,0.25,1,36.13,37.58
0.76,661.5,416.5,122.5,7,4,0.25,1,36.91,37.45
0.9,563.5,318.5,122.5,7,4,0.1,5,28.03,34.45
0.9,563.5,318.5,122.5,7,5,0.1,5,29.02,33.01
0.86,588,294,147,7,2,0.1,5,27.03,25.82
0.86,588,294,147,7,3,0.1,5,26.45,27.33
0.86,588,294,147,7,4,0.1,5,25.36,32.04
0.86,588,294,147,7,5,0.1,5,26.45,31.28
0.82,612.5,318.5,147,7,2,0.1,5,24.37,25.11
0.82,612.5,318.5,147,7,3,0.1,5,23.89,24.77
0.82,612.5,318.5,147,7,4,0.1,5,22.89,28.88
0.82,612.5,318.5,147,7,5,0.1,5,23.86,27.69
0.79,637,343,147,7,2,0.1,5,37.03,34.99
0.79,637,343,147,7,3,0.1,5,36.71,34.18
0.79,637,343,147,7,4,0.1,5,36.77,43.14
0.79,637,343,147,7,5,0.1,5,35.48,41.26
0.76,661.5,416.5,122.5,7,2,0.1,5,32.31,34.25
0.76,661.5,416.5,122.5,7,3,0.1,5,33.21,34.35
0.76,661.5,416.5,122.5,7,4,0.1,5,32.46,33.64
0.76,661.5,416.5,122.5,7,5,0.1,5,33.27,33.88
0.74,686,245,220.5,3.5,2,0.1,5,10.47,13.65
0.74,686,245,220.5,3.5,3,0.1,5,10.37,13.44
